98OLCIE,,,,,,
98OLCUS,,,,,,
98OLCUT,,,,,,
98OLEIG,,,,,,
98OLREG,,,,,,
98OLSIL,,,,,,
98PLBRE,Manual Trans,175,,,,
98PLGRA,,,,,,
98PLNEE,No air cond,175,Manual trans,175,,
98PLVOY,4cyl,100,Psgr slider only,75,No ABS brakes,75
98POBON,,,,,,
98POFIR,Manual trans,175,,,,
98POGRA,Manual trans,175,,,,
98POGRP,3.1L V6 (160hp),75,,,,
98POSUN,No air cond,175,Manual trans,175,,
98POTAM,Manual trans,175,,,,
98POTRA,Psngr slider only,75,,,,
98PR911,No CD,50,,,,
98PRBOX,No CD,50,,,,
98RA4WD,,,,,,
98SA900,Manual trans,175,,
98SA9TH,Manual trans,175,,
98SNSC1,No air cond,175,Manual trans,175
98SNSC2,No air cond,175,Manual trans,175
98SNSL1,No air cond,175,Manual trans,175
98SNSL2,No air cond,175,Manual trans,175
98SNSLx,No air cond,175,Manual trans,175
98SNSW1,No air cond,175,Manual trans,175
98SNSW2,No air cond,175,Manual trans,175
98SUIMP,No air cond,175,Manual trans,175
98SULEG,No air cond,175,Manual trans,175
98SUSVX,,,,
98SZEST,No air cond,175,,
98SZSAM,,,,
98SZSID,,,,
98SZSWI,No air cond,175,,
98TO4RU,2.7L (4cyl-150hp),175,,,No ABS,75,,
98TOCAM,No air cond,175,Manual trans,175,No ABS brakes,50,,
98TOCEL,No air cond,175,Manual trans,175,,,Wheel covers,100
98TOCOR,No air cond,175,Manual steering,100,Manual trans,175,,
98TOCRE,,,,,,,,
98TOLAN,No 3rd seat,175,Std. wheels,175,,,,
98TOPAS,No air cond,175,Manual trans,175,,,,
98TOPIC,,,,,,,,
98TOPRE,No ABS brakes,50,,,,,,
98TORAV,,,,,,,,
98TOSIE,Psngr slider only (LE),100,,,,,,
98TOSUP,,,,,,,,
98TOT10,,,,,,,,
98TOTER,No air cond,175,Manual steering,175,Manual trans,175,,
98VOBEE,Manual trans,175,,,,,,
98VOCAB,No air cond,175,Manual trans,175,,,,
98VOCOR,,,,
98VOEUR,,,,
98VOGOL,No air cond,175,Man trans (GL),175
98VOGTI,,,,
98VOJET,No air cond,175,Man trans (not TDI),175
98VOPAS,Manual transmission,175,,
98VV70A,,,,
98VV70S,Manual transmission,175,,
98VV90S,,,,
99ACCLx,5spd manual,175,,
99ACINT,No air cond,175,Manual (not GS-R),175
99ACNSX,,,,
99ACRLx,,,,
99ACTLx,,,,
99AUA4x,Manual trans,175,Vinyl Seats,175
99AUA6x,Cloth seats,175,,
99AUCAB,Manual Roof,275,Cloth seats,225,,
99BM3-S,Man trans (not Cnv),175,Wheel covers,175,No CD,50
99BM5-S,Manual trans,225,Vinyl seats (528),200,No CD,50
99BM7-S,No CD player,50,,,,
99BMM3x,No Cruise,50,,,,
99BMZ3x,No CD player,50,,,,
99BUCEN,No cruise,50,,,,
99BULES,,,,,,
99BUPAR,,,,,,
99BURIV,,,,,,
99BUROA,,,,,,
99BUSKY,,,,,,
99CACAT,,,,,,
99CADEV,Cloth seats,175,No CD player,50,,
99CAELD,Cloth seats,175,No CD player,50,,
99CASEV,No CD player,50,,,,
99CHC1S,,,,,,
99CHCAM,Manual trans,175,,,,
99CHCAV,No air cond,175,Manual trans,175,,
99CHCVT,No CD player,50,,,,
99CHEXP,,,,,,
99CHG15,6cyl,175,,,,
99CHG25,,,,,,
99CHLUM,,,,,,
99CHMAL,2.4L (4cyl-150hp),175,,,,
99CHMET,Man trans (not Base),175,No air cond,175,,
99CHMON,No cruise,50,,,,
99CHPRI,No air cond,175,,,Manual trans,175
99CHS10,4cyl,175,,,,
99CHSTB,,,,,,
99CHSUB,,,,,,
99CHTAH,,,,,,
99CHTRA,,,,,,
99CHVEN,Psngr slider only,100,,,,
99CY300,Cloth seats,175,,,,
99CYCIR,,,,,,
99CYCON,No ABS brakes,75,,,,
